speaker,cleaned_text,debate,sentiment
Donald Trump,what did he do to deserve it what did he do with,first,2
Joe Biden,none of that is true,first,2
Donald Trump,… to deserve 183000,first,2
mediator_1,sir you’ve asked him a question let him answer it,first,2
Joe Biden,none of that is true,first,2
Donald Trump,oh really he didn’t get three and a half million,first,2
mediator_1,mr president,first,2
Joe Biden,is totally,first,2
mediator_1,mr president please you’ve asked a question crosstalk 002241,first,2
Joe Biden,totally discredited totally discredited and by the way,first,0
Donald Trump,well wait he didn’t get three and a half million dollars joe,first,2
Joe Biden,mr vice,first,2
Donald Trump,he got three and a half million,first,2
mediator_1,mr president,first,2
Donald Trump,… dollars,first,2
Joe Biden,that is not true,first,2
Donald Trump,oh really,first,2
mediator_1,mr president it’s an open discussion please crosstalk 002256,first,2
Donald Trump,it’s a fact,first,2
Joe Biden,it is not a fact,first,2
mediator_1,well you have raised an issue let the vice president answer,first,2
Joe Biden,it’s been totally discredited,first,1
Donald Trump,did burisma pay him 183000 a month with no experience in energy,first,1
mediator_1,mr president,first,2
Joe Biden,my son did nothing wrong at barisma,first,2
Donald Trump,i think he did,first,2
mediator_1,mr president let him answer crosstalk 002313,first,2
Joe Biden,he doesn’t want to let me answer because he knows i have the truth his position has been totally thoroughly discredited,first,1
Donald Trump,by who,first,2
Joe Biden,and you can,first,2
Donald Trump,the media,first,2
Joe Biden,by everybody well by the media by our allies,first,2
Donald Trump,by the media because they refuse to talk about it,first,2
Joe Biden,by the world bank,first,2
Donald Trump,… because they’re embarrassed,first,1
Joe Biden,by everyone has discredited and matter of fact crosstalk 002330 matter of fact,first,1
mediator_1,mr president please stop,first,1
Joe Biden,even the people who testified under oath,first,2
Donald Trump,so let me ask you this joe crosstalk 002335,first,2
mediator_1,go ahead i’m listening to you,first,3
Joe Biden,even the people under,first,2
Donald Trump,he got three and a half million dollars from moscow,first,2
Joe Biden,… testified under oath in his administration said i did my job and i did it very well,first,3
Donald Trump,oh really,first,2
Joe Biden,i did it honorably,first,3
Donald Trump,i’d like to know who they are,first,3
Joe Biden,well i’ll give you the list of the people who,first,2
Donald Trump,i’ll fire them,first,1
mediator_1,no no go ahead sir,first,2
Joe Biden,i’m sure that you’ve already fired most of them because they did a good job,first,2
Donald Trump,some people don’t do a good job,first,1
Joe Biden,well here’s the crosstalk 002357,first,2
mediator_1,go ahead you get the crosstalk 002357 wait a minute you get the final word mr,first,2
Joe Biden,well it’s hard to get any word in with this clown excuse me this person,first,1
Donald Trump,hey let me just tell you joe,first,2
Joe Biden,no no mr president crosstalk 002405,first,1
Donald Trump,three and a half million joe,first,2
Joe Biden,that is simply not true,first,2
Donald Trump,why did he deserve three and a half million from moscow,first,1
Joe Biden,look here’s the deal we want to talk about families and ethics i don’t want to do that i mean his family we could talk about all night his family’s already,first,1
Donald Trump,my family,first,2
mediator_1,no no crosstalk 000620,first,1
Donald Trump,my family lost a fortune by coming down and helping us with governance,first,2
Joe Biden,and that’s such a crosstalk 002425,first,2
mediator_1,mr president,first,2
Donald Trump,every single one of them lost a fortune,first,1
Joe Biden,this is not about my family or his family it’s about your family the american people crosstalk 002432 that’s not true it doesn’t want to talk about what you need you the american people it’s about you that’s what we’re talking about here crosstalk 002442,first,2
mediator_1,that’s the end of the segment we’re moving on,first,2
Joe Biden,he didn’t take that,first,2
mediator_1,vice president,first,2
Donald Trump,chris can i be honest it’s a very important question,first,2
Joe Biden,try to be honest,first,2
mediator_1,no,first,1
Donald Trump,he stood up,first,2
mediator_1,the answer to the question is no,first,2
Donald Trump,… and the threatened ukraine,first,2
mediator_1,sir,first,2
Donald Trump,… with a billion dollars,first,2
Joe Biden,that is absolutely not true,first,2
mediator_1,stop crosstalk 002502 gentlemen i hate to raise my voice but i crosstalk 002505 why should i be different than the two of you so here’s the deal,first,2
Joe Biden,that’s a good point,first,3
mediator_1,we have six segments we have ended that segment we’re going to go to the next segment in that segment you each are going to have two uninterrupted moments in those two interrupted minutes mr president you can say anything you want i’m going to ask a question about race but if you want to answer about something else go ahead but i think that the country would be better served if we allowed both people to speak with fewer interruptions i’m appealing to you sir to do that,first,2
Donald Trump,well and him too,first,2
mediator_1,well frankly you’ve been doing more interrupting than he has,first,1
Donald Trump,well that’s all right but he does plenty,first,3
mediator_1,well sir less than,first,1
Donald Trump,he does plenty,first,2
mediator_1,no less than you have let’s please continue on the issue of rice vicepresident biden you say that president trump’s response to the violence in charlottesville three years ago when he talked about very fine people on both sides was what directly led you to launch this run for president,first,2
Donald Trump,oh yeah sure,first,2
mediator_1,president trump you have often said that you believe you will have done more for black americans than any president with the possible exception of abraham lincoln,first,3
Donald Trump,that’s true,first,2
mediator_1,my question for the two of you is why should voters trust you rather than your opponent to deal with the race issues facing this country over the next four years vice president biden you go first,first,2
Joe Biden,it’s about equity and equality it’s about decency it’s about the constitution and we have never walked away from trying to require equity for everyone equality for the whole of america but we’ve never accomplished it but we’ve never walked away from it like he has done it is true the reason i got in the race is when those people… close your eyes remember what those people look like coming out of the fields carrying torches their veins bulging just spewing antisemitic bile and accompanied by the ku klux klan a young woman got killed and they asked the president what he thought he said “there were very fine people on both sides” no president’s ever said anything like that crosstalk 002710,first,2
mediator_1,it is his,first,2
Joe Biden,now,first,2
mediator_1,… minute sir,first,2
Joe Biden,… second point i’d make to you is that when floyd was killed when mr floyd was killed there was a peaceful protest in front of the white house what did he do he came out of his bunker had the military use tear gas on them so he could walk across to a church and hold up a bible and then what happened after that the bishop of that very church said that it was a disgrace the general who was with him said all he ever wants to do is divide people not unite people at all this is a president who has used everything as a dog whistle to try to generate racists hatred racist division,first,2
Joe Biden,this is a man who in fact you talk about helping africanamericans one in 1000 african americans has been killed because of the coronavirus and if he doesn’t do something quickly by the end of the year one in 500 will have been killed one in 500 african americans this man is as a savior of africanamericans this man cares at all this man’s done virtually nothing look the fact is that you have to look at what he talks about you have to look at what he did and what he did has been disastrous for the africanamerican community,first,3
Donald Trump,so,first,2
mediator_1,president trump you have two minutes why should americans trust you over your opponent to deal race issues,first,1
Donald Trump,you did a crime bill 1994 where you call them super predators africanamericans are super predators and they’ve never forgotten it they’ve never forgotten it,first,2
Joe Biden,i’ve never said,first,2
mediator_1,no no sir it’s his two minutes,first,2
Donald Trump,so you did that and they call you a super predator and i’m letting people out of jail now that you have treated the africanamerican population community you have treated the black community about as bad as anybody in this country you did the 1990… and that’s why if you look at the polls i’m doing better than any republican has done in a long time because they saw what you did you call them super predators and you’ve called them worse than that because you look back at your testimony over the years you’ve called them a lot worse than that as far as the church is concerned and as far as the generals are concerned we just got the support of 250 military leaders and generals total support law enforcement almost every law enforcement group in the united states i have florida i have texas i have ohio i have every… excuse me portland the sheriff just came out today and he said “i support president trump”,first,1
Donald Trump,i don’t think you have any law enforcement you can’t even say the word law enforcement because if you say those words you’re going to lose all of your radical left supporters and why aren’t you saying those words joe why don’t you say the words law enforcement because you know what if called us in portland we would put out that fire in a half an hour but they won’t do it because they’re run by radical left democrats if you look at chicago if you look at any place you want to look seattle they heard we were coming in the following day and they put up their hands and we got back seattle minneapolis we got it back joe because we believe in law and order but you don’t the top 10 cities and just about the top 40 cities are run by democrats and in many cases radical left and they’ve got you wrapped around their finger joe to a point where you don’t want to say anything about law and order and i’ll tell you what the people of this country want and demand law and order and you’re afraid to even say it,first,1
mediator_1,all right i want to return to the question of race vice president biden after the grand jury in the breonna taylor case decided not to charge any of the police with homicide you said it raises the question “whether justice could be equally applied in america” do you believe that there is a separate but unequal system of justice for blacks in this country,first,2
Joe Biden,yes there is there’s systemic injustice in this country in education and work and in law enforcement and the way in which it’s enforced but look the vast majority of police officers are good decent honorable men and women they risk their lives every day to take care of us but there are some bad apples and when they occur when they find them they have to be sorted out they have to be held accountable they have to be held accountable and what i’m going to do as president of the united states is call together an entire group of people at the white house everything from the civil rights groups to the police officers to the police chiefs and we’re going to work this out,first,2
Joe Biden,we’re going to work this out so we changed the way in which we have more transparency in when these things happen these cops aren’t happy to see what happened to george floyd these cops aren’t happy to see what happened to breonna taylor most don’t like it but we have to have a system where people are held accountable when… and by the way violence in response is never appropriate never appropriate peaceful protest is violence is never appropriate,first,2
mediator_1,all right mr,first,2
Donald Trump,what is peaceful protest when they run through the middle of the town,first,2
mediator_1,president trump,first,2
Donald Trump,… and burn down your stores and kill people all over the place crosstalk 003214,first,2
Joe Biden,that is not peaceful protest,first,1
Donald Trump,no it’s not but you say it is,first,2
mediator_1,president trump i’d like to continue with the issue of race i promise we’re going to get to the issue of law and order in a moment,first,3
Donald Trump,fine,first,3
mediator_1,this month your administration directed federal agencies to end racial sensitivity training that addresses white privilege or critical race theory why did you decide to do that to end racial sensitivity training and do you believe that there is systemic racism in this country sir,first,1
Donald Trump,i ended it because it’s racist i ended it because a lot of people were complaining that they were asked to do things that were absolutely insane that it a radical revolution that was taking place in our military in our schools all over the place and you know it and so does everybody else and he would know it crosstalk 003302,first,1
mediator_1,what is radical about racial sensitivity training,first,2
Donald Trump,if you were a certain person you had no status in life it was sort of a reversal and if you look at the people we were paying people hundreds of thousands of dollars to teach very bad ideas and frankly very sick ideas and really they were teaching people to hate our country and i’m not going to do that i’m not going to allow that to happen we have to go back to the core values of this country they were teaching people that our country is a horrible place it’s a racist place and they were teaching people to hate our country and i’m not going to allow that to happen,first,2
mediator_1,vice president biden,first,2
Joe Biden,nobody’s doing that he’s the racist,first,1
Donald Trump,you just don’t know,first,2
Joe Biden,here’s the deal i know a lot more about this crosstalk 001543,first,2
mediator_1,let him finish,first,2
Joe Biden,the fact is that there is racial insensitivity people have to be made aware of what other people feel like what insults them what is demeaning to them it’s important people know many people don’t want to hurt other people’s feelings but it makes a big difference it makes a gigantic difference in the way a child is able to grow up and have a sense of selfesteem it’s a little bit like how this guy and his friends look down on so many people they look down their nose on people like irish catholics like me who grow up in scranton they look down on people who don’t have money they look down on people who are of a different faith they looked down on people who are a different color in fact we’re all americans the only way we’re going to bring this country together is bring everybody together there’s nothing we cannot do if we do it together we can take this on and we can defeat racism in american,first,2
mediator_1,vice president… i mean president trump sir,first,2
Donald Trump,during the obamabiden administration there was tremendous division there was hatred you look at ferguson you look at or you go to very… many places look at oakland look what happened in oakland look what happened in baltimore look what happened… frankly it was more violent than what i’m even seeing now,first,2
Joe Biden,oh my lord,first,2
Donald Trump,but the reason,first,2
Joe Biden,this is ridiculous,first,0
Donald Trump,… is that the democrats that run these cities,first,2
Joe Biden,absolutely ridiculous,first,0
Donald Trump,… don’t want to talk like you about law and order,first,2
Joe Biden,violent crime,first,2
Donald Trump,and you still haven’t mentioned are you in favor of law and order,first,2
Joe Biden,i’m in favor of law you crosstalk 003515,first,2
Donald Trump,are you in favor of law and order crosstalk 003517,first,2
mediator_1,you asked a question let him finish crosstalk 003518 let him answer,first,2
Joe Biden,law and order with justice where people get treated fairly,first,3
Donald Trump,okay,first,2
Joe Biden,and the fact of the matter is violent crime went down 17 15 in our administration it’s gone up on his watch,first,2
Donald Trump,it went down much more in ours,first,2
mediator_1,all right we’re done crosstalk 003535 mr president you’re going to be very happy because we’re now going to talk about law and order,first,3
Donald Trump,the places we had trouble were democratic run cities,first,1
mediator_1,that’s exactly my question there has been a dramatic increase in homicides in america this summer particularly and you often blame that on democratic mayors and democratic governors but in fact there have been equivalent spikes in republican led cities like tulsa and fort worth so the question is is this really a…,first,2
mediator_1,it’s like tulsa and fort worth so the question is is this really a party issue,first,2
Donald Trump,i think as a party issue you can bring in a couple of examples but if you look at chicago what’s going on in chicago where a 53 people were shot and eight died shot if you look at new york where it’s going up like nobody’s ever seen anything the numbers are going up a 100 150 200 crime it is crazy what’s going on and he doesn’t want to say law and order because he can’t because he’ll lose his radical left supporters and once he does that it’s over with but if he ever got to run this country and they ran it the way he would want to run it we would have by the way our suburbs would be gone and you would see problems like you’ve never seen before,first,2
Joe Biden,he wouldn’t know a suburb unless you took a wrong turn,first,1
Donald Trump,oh i know suburbs so much that you,first,2
mediator_1,gentlemen wait a minute,first,2
Joe Biden,i was raised in the suburbs this is not 1950 all these dog whistles and racism don’t work anymore suburbs are by and large integrated there’s many people today driving their kids to soccer practice andor black and white and hispanic in the same car as there have been any time in the past what really is a threat to the suburbs and their safety is his failure to deal with covid they’re dying in the suburbs his failure to deal with the environment they’re being flooded they’re being burned out because his refusal to do anything that’s why the suburbs are in trouble,first,2
mediator_1,i do want to talk about this issue of law and order though and in the joint recommendation that came from the bidenbernie sanders task force you talked about quote reimagining policing first of all what does reimagining policing mean and do you support if i might finish the question what does reimagining policing mean and do you support the black lives matter call for community control of policing,first,2
Joe Biden,look what i support are the police having the opportunity to deal with the problems they face and i’m totally opposed to defunding the police offices as a matter of fact police local police the only one defunding in his budget calls for a 400 million cut in local law enforcement assistance they need more assistance they need when they show up for a 911 call to have someone with them as a psychologist or psychiatrist to keep them from having to use force and be able to talk people down we have to have community policing like we had before where the officers get to know the people in the communities that’s when crime went down it didn’t go up it went down and so we have to be…,first,2
Donald Trump,that’s not what they are talking about this that’s not what it is about he’s talking about defunding the police,first,2
Joe Biden,that is not true,first,2
Donald Trump,he doesn’t have any law support he has no law enforcement,first,1
Joe Biden,that’s not true,first,2
Donald Trump,he has almost nothing oh really who do you have name one group that supports you name one group that came out and supported you go ahead think we have time,first,1
Joe Biden,we don’t have time to do anything,first,1
Donald Trump,no no think right now name one law enforcement group that came out in support of you,first,1
mediator_1,now gentleman i think i’m going to tell i’m going to take back the bottom line,first,2
Donald Trump,there aren’t any,first,2
mediator_1,and i want to get to another subject which is the issue of protests in many cities that have turned violent in portland oregon especially we had more than a 100 straight days of protests which i think you would agree you talk about peaceful protests many of those turned into riots mr vicepresident you say that people who commit crimes should be held accountable the question i have though is as the democratic nominee and earlier tonight you said that you are the democratic party right now have you ever called the democratic mayor of portland or the democratic governor of oregon and said “hey you got to stop this bring in the national guard do whatever it takes but you’d stop the days and months of violence in portland”,first,2
Joe Biden,i don’t hold public office now i am a former vice president i’ve made it clear i’ve made it clear in my public statements that the violence should be prosecuted it should be prosecuted and anyone who committed it should be prosecuted,first,2
mediator_1,but you’ve never called for the people…,first,2
Donald Trump,he’s never done that,first,2
mediator_1,excuse me sir you had never called for the leaders in portland and in oregon to call and bring in the national guard and knock off a 100 days of riots,first,2
Joe Biden,they can in fact take care of it if he just stay out of the way,first,2
Donald Trump,oh really i sent in the us marshalls to get the killer of a young man in the middle of the street and they shot him for three days portland didn’t do anything i sent in the us marshals they took care of business,first,2
mediator_1,go ahead sir,first,2
Joe Biden,and by the way his own former spokesperson said “riots and chaos and violence help he cause” that’s what this is all about,first,2
Donald Trump,i don’t know who said that,first,1
Joe Biden,i do,first,2
Donald Trump,who,first,2
Joe Biden,i think kellyanne conway,first,2
Donald Trump,i don’t think she said that,first,2
Joe Biden,she said that,first,2
Donald Trump,i don’t think so,first,1
Joe Biden,here’s the point the point is that that’s why he keeps trying to rile everything up he doesn’t want to calm things down instead of going in and talking to people and saying “let’s get everybody together figure out how to deal with this” what’s he do he just pours gasoline in the fire constantly and every single solitary time,first,2
mediator_1,okay and to end this button up this segment i’m going to give you a minute to answer sir you have repeatedly criticized…,first,2
Donald Trump,does it mean i have to answer his stuff,first,2
mediator_1,you have repeatedly…,first,2
Donald Trump,wait a second you have made a statement,first,2
mediator_1,you’ve been talking back and forth i’m asking you,first,2
Donald Trump,i would love to end it,first,1
mediator_1,you know sir if you want to switch seats we could very quickly can do that,first,2
Donald Trump,i’ll send in the national guard it would be over that’d be no problem but i don’t want to accept the national guard,first,2
mediator_1,you have repeatedly criticized the vice president for not specifically calling out antifa and other left wing extremist groups but are you willing tonight to condemn white supremacists and militia group and to say that they need to stand down and not add to the violence in a number of these cities as we saw in kenosha and as we’ve seen in portland,first,2
Donald Trump,sure i’m will to do that,first,2
mediator_1,are you prepared specifically to do it,first,2
Donald Trump,i would say almost everything i see is from the left wing not from the right wing,first,2
mediator_1,but what are you saying,first,2
Donald Trump,i’m willing to do anything i want to see peace,first,3
mediator_1,well do it sir,first,2
Joe Biden,say it do it say it,first,2
Donald Trump,what do you want to call them give me a name give me a name go ahead who do you want me to condemn,first,1
mediator_1,white supremacist and rightwing militia,first,2
Donald Trump,proud boys stand back and stand by but i’ll tell you what somebody’s got to do something about antifa and the left because this is not a right wing problem this is a left wing,first,2
Joe Biden,he’s own fbi director said unlike white supremacist antifa is an idea not an organization,first,2
Donald Trump,oh you got to be kidding me,first,1
Joe Biden,… not a militia that’s what his fbi director said,first,2
Donald Trump,well then you know what he’s wrong,first,1
mediator_1,we’re done sir moving onto the next… crosstalk 004246,first,2
Donald Trump,antifa is bad,first,1
Joe Biden,every body in your administration tells you the true it’s a bad idea you have no idea about anything,first,1
Donald Trump,you know what antifa is a dangerous radical group,first,2
mediator_1,all right gentlemen we’re now moving onto the trumpbiden record,first,2
Donald Trump,and you ought to be careful of them they’ll over throw you,first,1
mediator_1,i’m going to ask a question when the president seeks a second term it is generally a referendum on his record but vice president biden you’d like to quote one of your dad’s sayings which is don’t compare me to the almighty compare me to the alternative and in this case sir you are the alternative looking at both of your records i’m going to ask each of you why should voters elect you president over your opponent in this segment president trump you’ll go first two minutes,first,2
Donald Trump,because there is never been an administration or president who has done more than i’ve done in a period of three and a half years and that’s despite the impeachment hoax and you so what happened today with hillary clinton where it was a whole big con job but despite going through all of these things where i had a fight both flanks and behind me and above there has never been an administration that’s done what i’ve done the greatest before covid came in the greatest economy in history lowest unemployment numbers everything was good everything was going,first,3
Donald Trump,and by the way there was unity going to happen people were calling me for the first time in years they were calling and they were saying it’s time maybe and then what happened we got hit but now we’re building it back up again a rebuilding of the military including space force and all of the other things a fixing of the va which was a mess under him 308000 people died because they didn’t have proper health care it was a mess and we now got a 91 approval rating at the va our vets we take care of our vets but we’ve rebuilt our military and i’ll tell you something some people say maybe the most important by the end of the first term i’ll have approximately 300 federal judges and court of appeals judges 300 and hopefully three great supreme court judges justices that is a record the likes of which very few people and one of the reasons i’ll have so many judges because president obama and him left me 128 judges to fill,first,2
Donald Trump,when you leave office you don’t leave any judges that’s like you just don’t do that they left 128 openings and if i were a member of his party because they have a little different philosophy i’d say if you left us 128 openings you can’t be a good president you can’t be a good vice president but i want to thank you because it gives us almost it’ll probably be above that number by the end of this term 300 judges it’s a record,first,1
mediator_1,looking at both of your records why should voters elect you president as opposed to president trump you have two minutes uninterrupted,first,1
Joe Biden,under this president we become weaker sicker poor more divided and more violent when i was vice president we inherited a recession i was asked to fix it i did we left him a booming economy and he caused the recession with regard to being weaker the fact is that i’ve gone head to head with putin and made it clear to him we’re not going to take any of his stuff he’s putin’s puppy he still refuses to even say anything to putin about the bounty on the heads of american soldiers,first,2
Donald Trump,you son got three and a half million dollars,first,2
Joe Biden,by the way my son…,first,2
mediator_1,wait a minute mr president your campaign agreed to both sides would get two minute answers uninterrupted well you’re a side agreed to it and why don’t you observe what your campaign agreed to as a ground rule okay sir,first,2
Joe Biden,he never keeps his word,first,1
mediator_1,no that was a rhetorical question,first,2
Joe Biden,can you get back 30 seconds,first,2
mediator_1,yes you may have go ahead,first,2
Joe Biden,so thirdly we’re poor the billionaires have gotten much more wealthy by a tune of over 3 400 billion more just since covid you in the home you got less you’re in more trouble than you were before in terms of being more violent when we were in office there were 15 less violence in america than there is today he’s president united states it’s on his watch and with regard to more divided the nation it can’t stay divided we can’t be this way and speaking of my son the way you talk about the military the way you talk about them being losers and being and just being suckers my son was in iraq he spent a year there he got the brown star he got the conspicuous service medal he was not a loser he was a patriot and the people left behind there were heroes,first,2
Donald Trump,really,first,2
Joe Biden,and i resent,first,1
Donald Trump,are you talking hunter are you talking about hunter,first,2
Joe Biden,i’m talking about my son beau biden you’re talking about hunter,first,2
Donald Trump,i don’t know beau i know hunter hunter got thrown out of the military he was thrown out dishonorably discharged,first,1
Joe Biden,that’s not true he was not dishonorably discharged,first,2
Donald Trump,for cocaine use and he didn’t have a job until you became vice president,first,2
Joe Biden,none of that is true,first,2
Donald Trump,once you became vice president he made a fortune in ukraine in china in moscow and various other places,first,2
Joe Biden,that is not true,first,2
Donald Trump,he made a fortune and he didn’t have a job,first,2
Joe Biden,my son like a lot of people at home had a drug problem he’s overtaking it he’s fixed it he’s worked on it and i’m proud of him i’m proud of my son,first,3
Donald Trump,but why was he given tens of millions of dollars,first,1
Joe Biden,he wasn’t given tens of millions of dollars crosstalk 004823 it was all discredited,first,1
mediator_1,we’ve already been through this i think the american people would rather hear about more substantial subjects well as the moderator sir i’m going to make a judgment call here,first,1
Donald Trump,i know but when somebody gets three and a half million dollars from the mayor of moscow,first,2
Joe Biden,that is not true that report is totally discredited,first,1
Donald Trump,why did he get it,first,1
Joe Biden,mitt romney on that committee said it wasn’t worth taxpayer’s money that report was written for political reason,first,1
mediator_1,i’d like to talk about climate change,first,2
Joe Biden,so would i,first,2
mediator_1,okay the forest fires in the west are raging now they have burned millions of acres they have displaced hundreds of thousands of people when state officials there blamed the fires on climate change mr president you said i don’t think the science knows over your four years you have pulled the us out of the paris climate accord you have rolled back a number of obama environmental records what do you believe about the science of climate change and what will you do in the next four years to confront it,first,2
Donald Trump,i want crystal clean water and air i want beautiful clean air we have now the lowest carbon… if you look at our numbers right now we are doing phenomenally but i haven’t destroyed our businesses our businesses aren’t put out of commission if you look at the paris accord it was a disaster from our standpoint and people are actually very happy about what’s going on because our businesses are doing well as far as the fires are concerned you need forest management in addition to everything else the forest floors are loaded up with trees dead trees that are years old and they’re like tinder and leaves and everything else you drop a cigarette in there the whole forest burns down you’ve got to have forest management,first,3
mediator_1,what do you believe about the science of climate change sir,first,2
Donald Trump,i believe that we have to do everything we can to have immaculate air immaculate water and do whatever else we can that’s good we’re planting a billion trees the billion tree project and it’s very exciting for a lot of people,first,4
mediator_1,you believe that human pollution gas greenhouse gas emissions contributes to the global warming of this planet,first,2
Donald Trump,i think a lot of things do but i think to an extent yes i think to an extent yes but i also think we have to do better management of our forest every year i get the call california’s burning california’s burning if that was cleaned if that were if you had forest management good forest management you wouldn’t be getting those calls in europe they live they’re forest cities they call forest cities they maintain their forest they manage their forest i was with the head of a major country it’s a forest city he said “sir we have trees that are far more they ignite much easier than california there shouldn’t be that problem” i spoke with the governor about it i’m getting along very well with the governor but i said “at some point you can’t every year have hundreds of thousands of acres of land just burned to the ground” that’s burning down because of a lack of management,first,2
mediator_1,but sir if you believe in the science of climate change why have you rolled back the obama clean power plan which limited carbon emissions and power plants why have you relaxed…,first,2
Donald Trump,because it was driving energy prices through the sky,first,2
Joe Biden,why have you relaxed fuel economy standards that are going to create more pollution from cars and trucks,first,1
Donald Trump,well not really because what’s happening is the car is much less expensive and it’s a much safer car and you talk it about a tiny difference and then what would happen because of the cost of the car you would have at least double and triple the number of cars purchased we have the old slugs out there that are 10 12 years old if you did that the car would be safer it would be much cheaper by 3500,first,2
mediator_1,but in the case of california they have simply ignored that,first,1
Donald Trump,no but you would take a lot of cars off the market because people would be able to afford a car now by the way we’re going to see how that turns out but a lot of people agree with me many people the car has gotten so expensive because they have computers all over the place for an extra little bit of gasoline and i’m okay with electric cars too i think i’m all for electric cars i’ve given big incentives for electric cars but what they’ve done in california is just crazy,first,2
mediator_1,all right vice president biden i’d like you to respond to the president’s climate change record but i also want to ask you about a concern you propose 2 trillion in green jobs you talk about new limits not abolishing but new limits on fracking ending the use of fossil fuels to generate electricity by 2035 and zero none admission of greenhouse gases by 2050 the president says a lot of these things would tank the economy and cost millions of jobs,first,2
Joe Biden,he’s absolutely wrong number one number two if in fact during our administration in the recovery act i was in charge able to bring down the cost of renewable energy to cheaper than are as cheap as coal and gas and oil nobody’s going to build another coal fired plant in america no one’s going to build another oil fire plant in america they’re going to move to renewable energy number one number two we’re going to make sure that we are able to take the federal fleet and turn it into a fleet that’s run on their electric vehicles making sure that we can do that we’re going to put 500000 charging stations in all of the highways that we’re going to be building in the future we’re going to build a economy that in fact is going to provide for the ability of us to take 4 million buildings and make sure that they in fact are weatherized in a way that in fact will they’ll emit significantly less gas and oil because the heat will not be going out there’s so many things that we can do…,first,1
Joe Biden,gas and oil because the heat will not be going out there’s so many things that we can do now to create thousands and thousands of jobs we can get to net zero in terms of energy production by 2035 not only not costing people jobs creating jobs creating millions of goodpaying jobs not 15 bucks an hour but prevailing wage by having a new infrastructure that in fact is green and the first thing i will do i will rejoin the paris accord i will join the paris accord because with us out of it look what’s happening it’s all falling apart and talk about someone who has no relationship with foreign policy the rainforests of brazil are being torn down are being ripped down more carbon is absorbed in that rainforest than every bit of carbon that’s emitted in the united states instead of doing something about that i would be gathering up and making sure we had the countries of the world coming up with 20 billion and say “here’s 20 billion stop tearing down the forest and if you don’t then you’re going to have significant economic consequences”,first,3
mediator_1,what about the argument that president trump basically says that you have to balance environmental interests and economic interests and he’s drawn his line,first,2
Joe Biden,well he hasn’t drawn a line he wants to make sure that methane’s not a problem you can now emit more methane without it being a problem methane this is a guy who says that you don’t have to have mileage standards for automobiles that exist now this is the guy who says that the fact that,first,2
Donald Trump,not true not true,first,1
Joe Biden,it’s all true and here’s the deal,first,2
Donald Trump,he’s talking about the green new deal and it’s not 2 billion crosstalk 005545 or 20 billion as you said crosstalk 005546 it’s 100 trillion,first,2
Joe Biden,i’m talking about the biden plan crosstalk 005551,first,2
mediator_1,let him go for a minute and then you can go,first,2
Donald Trump,and rebuild the building,first,2
Joe Biden,no,first,1
Donald Trump,it’s the dumbest,first,0
Joe Biden,that is not,first,2
Donald Trump,… most ridiculous crosstalk 005556 where two car systems are out,first,1
Joe Biden,not true,first,2
Donald Trump,… where they want to take out the cows too,first,2
Joe Biden,not true,first,2
Donald Trump,that’s not true either right,first,2
Joe Biden,not true,first,2
Donald Trump,this is a 100 trillion,first,2
Joe Biden,simply… look,first,2
Donald Trump,that’s more money than our country could make in 100 years crosstalk 000210,first,3
Joe Biden,that is simply not the case,first,2
mediator_1,all right let me crosstalk 000212 wait a minute sir i actually have studied your plan and it includes upgrading 4 million buildings weatherizing 2 million homes over four years building one and a half million energy efficient homes so the question becomes the president is saying i think some people who support the president would say that sounds like it’s going to cost a lot of money and hurt the economy,first,2
Joe Biden,what it’s going to do it’s going to create thousands and millions of jobs good paying jobs crosstalk 000241,first,3
mediator_1,let him finish sir,first,2
Joe Biden,he doesn’t know how to do that,first,1
Donald Trump,100 million dollars,first,2
Joe Biden,the fact is it’s going to create millions of good paying jobs and these tax incentives for people to weatherize which he wants to get rid of it’s going to make the economy much safer look how much we’re paying now to deal with the hurricanes deal with… by the way he has an answer for hurricanes he said maybe we should drop a nuclear weapon on them and they may,first,3
Donald Trump,i never said that at all,first,2
Joe Biden,yeah he did say that,first,2
Donald Trump,they made it up,first,2
Joe Biden,and here’s the deal,first,2
Donald Trump,you make up a lot,first,2
Joe Biden,… we’re going to be in a position where we can create hard hard good jobs by making sure the environment is clean and we all are in better shape we spend billions of dollars now billions of dollars on floods hurricanes rising seas we’re in real trouble look what’s happened just in the midwest with these storms that come through and wipe out entire sections and counties in iowa they didn’t happen before they’re because of global warming we make up 15 of the world’s problem but the rest of the world we’ve got to get them to come along that’s why we have to get back into the paris accord,first,3
mediator_1,all right gentlemen,first,2
Donald Trump,wait a minute chris so why didn’t he do it for 47 years you were vice president,first,2
Joe Biden,for 47,first,2
Donald Trump,so why didn’t you get the world… china sends up real dirt into the air russia does india does they all do we’re supposed to be good and by the way he made a couple of statements the green new deal is a hundred trillion dollars,first,2
Joe Biden,that is not my plan crosstalk 005810 the green new deal crosstalk 005814 is not my plan crosstalk 005815,first,1
mediator_1,gentlemen,first,2
Donald Trump,he made a statement about the military he said i said something about the military he and his friends made it up and then they went with it i never said it,first,1
mediator_1,okay crosstalk 005824 mr vice president,first,2
Donald Trump,he called the military stupid bastards,first,1
Joe Biden,i did not say that,first,2
Donald Trump,he said it on tape crosstalk 005832,first,2
